Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率
20150404,1,大村,1,3837,秋山広一,39,香川,52,A1,6.69,55.05,7.15,55.56,25.00,42.34
20150404,1,大村,2,4118,宇佐見淳,34,愛知,53,A1,6.75,54.10,6.39,48.39,50.00,32.00
20150404,1,大村,3,4497,桑原悠,27,長崎,51,A1,6.14,43.53,6.18,43.88,0.00,38.97
20150404,1,大村,4,4500,山田康二,27,佐賀,54,A1,6.53,46.94,6.82,52.94,20.00,38.10
20150404,1,大村,5,4061,萩原秀人,35,福井,53,A1,6.89,51.30,7.77,61.29,0.00,30.99
20150404,1,大村,6,4335,若林将,31,東京,53,A1,7.14,55.21,8.91,86.36,0.00,45.00
20150404,2,大村,1,4292,麻生慎介,30,広島,51,A1,6.38,42.37,6.85,48.72,0.00,35.97
20150404,2,大村,2,4504,前田将太,27,福岡,54,A1,7.23,47.50,5.31,31.25,37.50,34.64
20150404,2,大村,3,4064,原田篤志,35,山口,50,A1,7.50,59.48,7.59,62.96,0.00,30.71
20150404,2,大村,4,4344,新田雄史,30,三重,55,A1,7.21,46.43,7.06,43.75,55.56,26.71
20150404,2,大村,5,4112,大久保信,34,佐賀,51,A1,6.93,53.66,6.74,47.37,0.00,37.01
20150404,2,大村,6,3543,福田雅一,46,香川,54,A1,6.72,51.72,5.62,35.71,0.00,39.42
20150404,3,大村,1,4096,石橋道友,33,長崎,52,A1,7.42,57.95,7.33,58.79,70.00,29.37
20150404,3,大村,2,4388,是澤孝宏,29,滋賀,48,A1,6.27,41.67,6.00,38.46,0.00,48.51
20150404,3,大村,3,4174,赤坂俊輔,32,長崎,50,A1,7.69,58.68,7.77,66.29,0.00,34.00
20150404,3,大村,4,3557,太田和美,42,大阪,54,A1,7.86,54.65,6.38,37.84,0.00,31.37
20150404,3,大村,5,3522,長溝一生,46,佐賀,52,A1,6.82,57.39,6.57,50.00,60.00,34.44
20150404,3,大村,6,4370,山口達也,28,岡山,55,A1,7.10,53.04,6.26,35.29,25.00,38.93
20150404,4,大村,1,4099,吉永則雄,36,大阪,52,A1,7.34,61.86,7.81,65.38,0.00,41.61
20150404,4,大村,2,4171,榎幸司,32,長崎,52,A1,6.09,38.78,7.11,57.06,50.00,34.21
20150404,4,大村,3,4256,渡辺浩司,31,福岡,52,A1,6.95,54.62,6.86,62.07,0.00,32.21
20150404,4,大村,4,4342,谷野錬志,30,静岡,53,A1,6.66,52.25,7.94,75.00,0.00,36.03
20150404,4,大村,5,4537,渡邉和将,25,岡山,50,A1,6.64,50.00,6.74,52.63,28.57,39.86
20150404,4,大村,6,2992,今村豊,53,山口,49,A1,7.02,42.55,8.62,67.65,25.00,50.00
20150404,5,大村,1,4460,後藤翔之,29,東京,52,A1,6.78,50.52,5.00,27.27,57.14,30.72
20150404,5,大村,2,4497,桑原悠,27,長崎,51,A1,6.14,43.53,6.18,43.88,0.00,36.96
20150404,5,大村,3,4207,松下一也,32,静岡,54,A1,6.37,52.53,7.38,75.00,0.00,32.88
20150404,5,大村,4,4254,川島圭司,31,滋賀,51,A1,6.54,50.41,5.69,31.25,99.99,33.10
20150404,5,大村,5,3159,江口晃生,50,群馬,53,A1,6.88,52.27,8.43,76.19,0.00,29.17
20150404,5,大村,6,3779,原田幸哉,39,愛知,52,A1,7.57,55.75,8.37,72.22,0.00,25.98
20150404,6,大村,1,4391,松田祐季,28,福井,52,A1,6.62,46.34,4.67,22.22,0.00,30.41
20150404,6,大村,2,4500,山田康二,27,佐賀,54,A1,6.53,46.94,6.82,52.94,20.00,38.10
20150404,6,大村,3,4112,大久保信,34,佐賀,51,A1,6.93,53.66,6.74,47.37,0.00,37.01
20150404,6,大村,4,4188,久田敏之,33,群馬,52,A1,7.67,61.95,7.66,55.17,55.56,33.10
20150404,6,大村,5,3541,三嶌誠司,46,香川,53,A1,7.29,57.39,7.25,53.57,33.33,34.67
20150404,6,大村,6,4350,篠崎元志,29,福岡,51,A1,7.60,48.31,8.07,65.52,33.33,29.45
20150404,7,大村,1,3777,樋口亮,39,長崎,50,A1,6.49,46.00,7.46,62.36,62.50,31.43
20150404,7,大村,2,4292,麻生慎介,30,広島,51,A1,6.38,42.37,6.85,48.72,0.00,35.97
20150404,7,大村,3,4418,茅原悠紀,27,岡山,54,A1,8.17,62.50,6.65,43.48,12.50,28.06
20150404,7,大村,4,4305,金子拓矢,31,群馬,53,A1,6.18,45.00,7.43,71.43,12.50,37.50
20150404,7,大村,5,4174,赤坂俊輔,32,長崎,50,A1,7.69,58.68,7.77,66.29,0.00,34.00
20150404,7,大村,6,4049,高沖健太,34,三重,54,A1,6.41,45.45,6.33,50.00,37.50,41.10
20150404,8,大村,1,4256,渡辺浩司,31,福岡,52,A1,6.95,54.62,6.86,62.07,0.00,32.21
20150404,8,大村,2,3251,平石和男,48,埼玉,51,A1,6.33,39.17,6.98,47.50,55.56,33.77
20150404,8,大村,3,3941,池田浩二,37,愛知,54,A1,7.54,51.79,8.39,63.04,40.00,35.14
20150404,8,大村,4,4388,是澤孝宏,29,滋賀,48,A1,6.27,41.67,6.00,38.46,0.00,48.51
20150404,8,大村,5,4335,若林将,31,東京,53,A1,7.14,55.21,8.91,86.36,0.00,45.00
20150404,8,大村,6,4064,原田篤志,35,山口,50,A1,7.50,59.48,7.59,62.96,0.00,30.71
20150404,9,大村,1,4075,中野次郎,33,東京,50,A1,7.27,54.11,0.00,0.00,0.00,34.27
20150404,9,大村,2,4096,石橋道友,33,長崎,52,A1,7.42,57.95,7.33,58.79,70.00,29.37
20150404,9,大村,3,2992,今村豊,53,山口,49,A1,7.02,42.55,8.62,67.65,25.00,50.00
20150404,9,大村,4,4657,江崎一雄,27,福岡,54,A1,6.07,47.97,5.88,34.62,12.50,38.10
20150404,9,大村,5,4207,松下一也,32,静岡,54,A1,6.37,52.53,7.38,75.00,0.00,32.88
20150404,9,大村,6,4061,萩原秀人,35,福井,53,A1,6.89,51.30,7.77,61.29,0.00,30.99
20150404,10,大村,1,4044,湯川浩司,35,大阪,50,A1,7.34,50.00,7.41,52.94,0.00,37.86
